id,vendor_id,prod_cat_id,name,brand,desc,price,features,search_kw,prev_price,created_dt,updated_dt,deactivated_flag
1001604,VEND0005,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,771.96,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 03:46:04,2022-11-15 03:46:04,False
1001605,VEND0005,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,643.23,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 03:58:03,2022-11-15 03:58:03,False
1001606,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,642.69,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 04:12:48,2022-11-15 04:12:48,False
1001607,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,864.63,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 04:26:41,2022-11-15 04:26:41,False
1001608,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,581.22,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",581.48,2022-11-15 04:43:09,2023-02-21 04:44:11,False
1001609,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,603.5,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 05:04:11,2022-11-15 05:04:11,False
1001610,VEND0003,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,602.74,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 05:22:01,2022-11-15 05:22:01,False
1001611,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,511.71,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",511.78,2022-11-15 05:38:37,2023-02-17 11:54:11,False
1001612,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,473.6,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",475.95,2022-11-15 05:51:59,2023-02-18 05:01:58,False
1001613,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,464.08,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",464.13,2022-11-15 06:07:20,2023-02-14 02:21:05,False
1001614,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,707.61,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 06:26:06,2022-11-15 06:26:06,False
1001615,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,470.77,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",470.8,2022-11-15 06:41:29,2023-02-19 06:02:55,False
1001616,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,579.68,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",580.13,2022-11-15 06:54:45,2023-02-21 20:02:48,False
1001617,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,488.79,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 07:09:23,2022-11-15 07:09:23,False
1001618,VEND0002,CAT0094,Blackberry Smartphone,blackberry,Blackberry Smartphone: electronics smartphone,355.18,{'brand': 'blackberry'},"['blackberry', 'electronics', 'smartphone']",,2022-11-15 07:27:28,2022-11-15 07:27:28,False
1001619,VEND0003,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,397.95,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 07:42:24,2022-11-15 07:42:24,False
1001620,VEND0006,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,377.14,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",377.29,2022-11-15 07:55:04,2023-02-14 09:36:39,False
1001621,VEND0005,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,360.08,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 08:10:23,2022-11-15 08:10:23,False
1001622,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,376.85,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",377.03,2022-11-15 08:29:02,2023-02-21 11:45:09,False
1001623,VEND0001,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,203.09,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 08:45:56,2022-11-15 08:45:56,False
1001624,VEND0001,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,231.27,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 08:59:53,2022-11-15 08:59:53,False
1001625,VEND0002,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,168.69,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 09:10:03,2022-11-15 09:10:03,False
1001626,VEND0006,CAT0094,Bq Smartphone,bq,Bq Smartphone: electronics smartphone,74.03,{'brand': 'bq'},"['bq', 'electronics', 'smartphone']",,2022-11-15 09:19:15,2022-11-15 09:19:15,False
1001627,VEND0002,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,254.32,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 09:34:10,2022-11-15 09:34:10,False
1001628,VEND0005,CAT0094,Oneplus Smartphone,oneplus,Oneplus Smartphone: electronics smartphone,468.48,{'brand': 'oneplus'},"['oneplus', 'electronics', 'smartphone']",,2022-11-15 09:49:32,2022-11-15 09:49:32,False
1001629,VEND0005,CAT0094,Micromax Smartphone,micromax,Micromax Smartphone: electronics smartphone,85.12,{'brand': 'micromax'},"['micromax', 'electronics', 'smartphone']",,2022-11-15 10:04:39,2022-11-15 10:04:39,False
1001630,VEND0001,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,149.3,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 10:19:24,2022-11-15 10:19:24,False
1001631,VEND0002,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,203.05,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 10:31:04,2022-11-15 10:31:04,False
1001632,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,456.79,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 10:46:44,2022-11-15 10:46:44,False
1001633,VEND0003,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,179.9,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 11:08:26,2022-11-15 11:08:26,False
1001634,VEND0006,CAT0094,Lg Smartphone,lg,Lg Smartphone: electronics smartphone,89.84,{'brand': 'lg'},"['lg', 'electronics', 'smartphone']",,2022-11-15 11:24:04,2022-11-15 11:24:04,False
1001635,VEND0001,CAT0094,Htc Smartphone,htc,Htc Smartphone: electronics smartphone,126.13,{'brand': 'htc'},"['htc', 'electronics', 'smartphone']",,2022-11-15 11:35:16,2022-11-15 11:35:16,False
1001636,VEND0004,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,1154.86,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 11:51:07,2022-11-15 11:51:07,False
1001637,VEND0002,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,617.52,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 12:08:38,2022-11-15 12:08:38,False
1001638,VEND0005,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,599.66,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 12:27:09,2022-11-15 12:27:09,False
1001639,VEND0002,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,151.12,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 12:44:59,2022-11-15 12:44:59,False
1001640,VEND0006,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,134.96,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 13:01:55,2022-11-15 13:01:55,False
1001641,VEND0003,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,308.5,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-15 13:19:10,2022-11-15 13:19:10,False
1001642,VEND0006,CAT0094,Oppo Smartphone,oppo,Oppo Smartphone: electronics smartphone,180.16,{'brand': 'oppo'},"['oppo', 'electronics', 'smartphone']",,2022-11-15 13:29:48,2022-11-15 13:29:48,False
1001643,VEND0004,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,141.99,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 13:40:11,2022-11-15 13:40:11,False
1001644,VEND0004,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,128.39,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 13:56:49,2022-11-15 13:56:49,False
1001645,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,382.97,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 14:12:42,2022-11-15 14:12:42,False
1001646,VEND0006,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,187.88,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 14:27:44,2022-11-15 14:27:44,False
1001647,VEND0002,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,123.56,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-15 14:45:31,2022-11-15 14:45:31,False
1001648,VEND0003,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,434.76,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 15:02:36,2022-11-15 15:02:36,False
1001649,VEND0001,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,128.19,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 15:16:33,2022-11-15 15:16:33,False
1001650,VEND0004,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,128.19,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 15:30:28,2022-11-15 15:30:28,False
1001651,VEND0002,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,124.2,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 15:47:31,2022-11-15 15:47:31,False
1001652,VEND0004,CAT0094,Gionee Smartphone,gionee,Gionee Smartphone: electronics smartphone,95.21,{'brand': 'gionee'},"['gionee', 'electronics', 'smartphone']",,2022-11-15 16:03:53,2022-11-15 16:03:53,False
1001653,VEND0006,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,330.86,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 16:17:10,2022-11-15 16:17:10,False
1001654,VEND0004,CAT0094,Nokia Smartphone,nokia,Nokia Smartphone: electronics smartphone,110.66,{'brand': 'nokia'},"['nokia', 'electronics', 'smartphone']",,2022-11-15 16:34:52,2022-11-15 16:34:52,False
1001655,VEND0004,CAT0094,Nokia Smartphone,nokia,Nokia Smartphone: electronics smartphone,77.2,{'brand': 'nokia'},"['nokia', 'electronics', 'smartphone']",,2022-11-15 16:53:22,2022-11-15 16:53:22,False
1001656,VEND0005,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,199.92,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 17:10:44,2022-11-15 17:10:44,False
1001657,VEND0004,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,128.42,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 17:30:02,2022-11-15 17:30:02,False
1001658,VEND0006,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,128.42,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-15 17:45:02,2022-11-15 17:45:02,False
1001659,VEND0006,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,746.22,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 17:57:33,2022-11-15 17:57:33,False
1001660,VEND0001,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,602.07,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-15 18:10:57,2022-11-15 18:10:57,False
1001661,VEND0005,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,509.81,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 18:25:26,2022-11-15 18:25:26,False
1001662,VEND0005,CAT0094,Nokia Smartphone,nokia,Nokia Smartphone: electronics smartphone,120.96,{'brand': 'nokia'},"['nokia', 'electronics', 'smartphone']",,2022-11-15 18:41:18,2022-11-15 18:41:18,False
1001663,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,571.56,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",587.52,2022-11-15 18:55:54,2023-02-17 03:12:50,False
1001664,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,610.0,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",612.43,2022-11-15 19:12:43,2023-02-16 19:16:58,False
1001665,VEND0005,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,587.56,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",588.77,2022-11-15 19:28:22,2023-01-31 12:23:04,False
1001666,VEND0003,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,764.45,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",764.83,2022-11-15 19:43:50,2023-02-16 17:10:57,False
1001667,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,1158.07,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 20:01:35,2022-11-15 20:01:35,False
1001668,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,1063.42,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 20:17:57,2022-11-15 20:17:57,False
1001669,VEND0004,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,746.29,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",747.23,2022-11-15 20:35:01,2023-02-16 02:02:06,False
1001670,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,782.34,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",782.67,2022-11-15 20:52:28,2023-02-18 22:51:45,False
1001671,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,710.3,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",711.59,2022-11-15 21:05:33,2023-02-21 15:06:07,False
1001672,VEND0005,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,981.54,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 21:19:42,2022-11-15 21:19:42,False
1001673,VEND0002,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,991.07,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 21:41:56,2022-11-15 21:41:56,False
1001674,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,979.16,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 22:01:06,2022-11-15 22:01:06,False
1001675,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,946.97,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 22:12:40,2022-11-15 22:12:40,False
1001676,VEND0006,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,957.53,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-15 22:24:26,2022-11-15 22:24:26,False
1001677,VEND0001,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,1070.8,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",1072.79,2022-11-15 22:36:48,2023-02-20 23:59:30,False
1001678,VEND0003,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,1067.69,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",1067.84,2022-11-15 22:51:56,2023-02-17 16:34:32,False
1001679,VEND0001,CAT0094,Nokia Smartphone,nokia,Nokia Smartphone: electronics smartphone,573.17,{'brand': 'nokia'},"['nokia', 'electronics', 'smartphone']",,2022-11-15 23:09:31,2022-11-15 23:09:31,False
1001680,VEND0005,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,171.97,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 23:24:27,2022-11-15 23:24:27,False
1001681,VEND0004,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,200.78,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 23:38:41,2022-11-15 23:38:41,False
1001682,VEND0004,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,119.69,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-15 23:55:36,2022-11-15 23:55:36,False
1001683,VEND0003,CAT0094,Apple Smartphone,apple,Apple Smartphone: electronics smartphone,535.38,{'brand': 'apple'},"['apple', 'electronics', 'smartphone']",,2022-11-16 00:15:23,2022-11-16 00:15:23,False
1001684,VEND0001,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,411.59,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-16 00:35:30,2022-11-16 00:35:30,False
1001685,VEND0001,CAT0094,Sony Smartphone,sony,Sony Smartphone: electronics smartphone,411.31,{'brand': 'sony'},"['sony', 'electronics', 'smartphone']",,2022-11-16 00:50:21,2022-11-16 00:50:21,False
1001686,VEND0001,CAT0094,Gionee Smartphone,gionee,Gionee Smartphone: electronics smartphone,123.56,{'brand': 'gionee'},"['gionee', 'electronics', 'smartphone']",,2022-11-16 01:02:19,2022-11-16 01:02:19,False
1001687,VEND0003,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,406.66,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-16 01:15:32,2022-11-16 01:15:32,False
1001688,VEND0001,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,326.96,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-16 01:25:41,2022-11-16 01:25:41,False
1001689,VEND0005,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,231.64,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-16 01:39:57,2022-11-16 01:39:57,False
1001690,VEND0001,CAT0094,Meizu Smartphone,meizu,Meizu Smartphone: electronics smartphone,409.18,{'brand': 'meizu'},"['meizu', 'electronics', 'smartphone']",,2022-11-16 01:55:30,2022-11-16 01:55:30,False
1001691,VEND0004,CAT0094,Gionee Smartphone,gionee,Gionee Smartphone: electronics smartphone,74.65,{'brand': 'gionee'},"['gionee', 'electronics', 'smartphone']",,2022-11-16 02:05:34,2022-11-16 02:05:34,False
1001692,VEND0005,CAT0094,Gionee Smartphone,gionee,Gionee Smartphone: electronics smartphone,74.65,{'brand': 'gionee'},"['gionee', 'electronics', 'smartphone']",,2022-11-16 02:16:52,2022-11-16 02:16:52,False
1001693,VEND0004,CAT0094,Nokia Smartphone,nokia,Nokia Smartphone: electronics smartphone,407.11,{'brand': 'nokia'},"['nokia', 'electronics', 'smartphone']",,2022-11-16 02:30:57,2022-11-16 02:30:57,False
1001694,VEND0002,CAT0094,Nokia Smartphone,nokia,Nokia Smartphone: electronics smartphone,113.21,{'brand': 'nokia'},"['nokia', 'electronics', 'smartphone']",,2022-11-16 02:42:55,2022-11-16 02:42:55,False
1001695,VEND0004,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,373.21,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-16 02:54:49,2022-11-16 02:54:49,False
1001696,VEND0003,CAT0094,Google Smartphone,google,Google Smartphone: electronics smartphone,885.27,{'brand': 'google'},"['google', 'electronics', 'smartphone']",,2022-11-16 03:12:41,2022-11-16 03:12:41,False
1001697,VEND0003,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,169.9,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-16 03:30:38,2022-11-16 03:30:38,False
1001698,VEND0001,CAT0094,Oneplus Smartphone,oneplus,Oneplus Smartphone: electronics smartphone,462.05,{'brand': 'oneplus'},"['oneplus', 'electronics', 'smartphone']",,2022-11-16 03:45:45,2022-11-16 03:45:45,False
1001699,VEND0001,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,175.56,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-16 04:00:17,2022-11-16 04:00:17,False
1001700,VEND0004,CAT0094,Huawei Smartphone,huawei,Huawei Smartphone: electronics smartphone,231.38,{'brand': 'huawei'},"['huawei', 'electronics', 'smartphone']",,2022-11-16 04:16:35,2022-11-16 04:16:35,False
1001701,VEND0003,CAT0094,Oneplus Smartphone,oneplus,Oneplus Smartphone: electronics smartphone,460.66,{'brand': 'oneplus'},"['oneplus', 'electronics', 'smartphone']",,2022-11-16 04:34:16,2022-11-16 04:34:16,False
1001702,VEND0002,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,201.43,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-16 04:52:42,2022-11-16 04:52:42,False
1001703,VEND0002,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,128.62,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-16 05:07:35,2022-11-16 05:07:35,False
1001704,VEND0003,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,360.11,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-16 05:19:29,2022-11-16 05:19:29,False
1001705,VEND0001,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,301.08,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-16 05:34:42,2022-11-16 05:34:42,False
1001706,VEND0006,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,460.5,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-16 05:50:32,2022-11-16 05:50:32,False
1001707,VEND0002,CAT0094,Ark Smartphone,ark,Ark Smartphone: electronics smartphone,77.22,{'brand': 'ark'},"['ark', 'electronics', 'smartphone']",,2022-11-16 06:06:58,2022-11-16 06:06:58,False
1001708,VEND0006,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,386.08,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-16 06:23:31,2022-11-16 06:23:31,False
1001709,VEND0002,CAT0094,Samsung Smartphone,samsung,Samsung Smartphone: electronics smartphone,344.64,{'brand': 'samsung'},"['samsung', 'electronics', 'smartphone']",,2022-11-16 06:37:50,2022-11-16 06:37:50,False
1001710,VEND0001,CAT0094,Xiaomi Smartphone,xiaomi,Xiaomi Smartphone: electronics smartphone,437.59,{'brand': 'xiaomi'},"['xiaomi', 'electronics', 'smartphone']",,2022-11-16 06:50:39,2022-11-16 06:50:39,False
